中文名称,相对甜度,,
乳糖,0.16,,
半乳糖,0.32,,
麦芽糖,0.46,,
葡萄糖,0.7,,
赤藓糖醇,0.8,,
蔗糖,1,,
果糖,1.7,,
阿斯巴甜,150-250,,
三氯蔗糖,600,,
,,,
,,,
,,,
