100,8
200,15
400,21
600,27
800,30
1000,35
2000,61
4000,104
6000,164
8000,175
10000,205
20000,342
40000,591
60000,811
80000,1007
100000,1224
200000,2160
400000,3804
600000,5331
800000,6766
1000000,8169
2000000,14871
4000000,26860
6000000,37916
8000000,48618
10000000,58980
