,年份,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
18,France,1570,1710,1880,2050,2220,2380,2570,2820,2990,3230,3670,4690,5790,6720,7140,7810,8830,10820,13080,13190,12040,10450,9820,9770,11330,14460,18520,19490,20640,21420,23840,23580,24380,25740,27110,26930,25830,25420,24970,23840,23090,25930,31360,35870,37850,40130,43460,43930,43850,44350,43380,43780,43320,41080,38900,38310,41080
19,Kuwait,0,0,0,0,0,3660,3670,3560,3340,3550,3670,4390,6660,10120,14940,14090,15480,19290,19510,21330,18860,17770,16710,14710,16820,15460,14320,17380,0,0,0,0,0,20520,20870,21480,19680,16870,17980,18730,18950,22600,28190,34500,41410,47580,51710,45970,42150,43830,50650,53050,51010,41820,35910,31810,33690
20,Ireland,0,0,0,0,0,0,0,0,0,0,2070,2540,2990,3390,3280,3580,4120,5120,6380,6780,6390,5720,5610,5630,6370,8220,10420,11100,12560,13130,14440,14600,15480,16920,18880,20660,21440,22650,24080,24020,24830,29890,37690,44530,47910,50530,50920,46810,44870,41990,40620,43550,46450,50260,52860,53050,59770
21,Singapore,490,530,510,540,590,660,750,850,970,1090,1280,1600,2090,2660,2930,3020,3370,3990,4730,5380,5680,6170,6930,7100,7330,8080,9320,10320,11450,12970,15270,17710,20780,23630,25620,27730,24010,23360,23680,22130,22000,23440,26150,28820,32550,36010,37230,37320,44930,48260,51720,54470,56370,53120,52520,54200,58770
22,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4770,4600,5220,6510,7490,8080,8970,9990,12570,14300,16030,17430,17500,17330,15700,14650,14710,15750,16330,17870,22250,24020,26320,34580,34360,36530,45580,54870,61240,70560,74210,64360,65190,72430,78320
23,Isle of Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17050,18800,21310,21880,22480,23730,27810,34210,39590,44420,47210,64640,66890,67430,70480,81160,87860,88990,83980,80340,0,0
24,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28400,30680,36160,38260,50810,58030,65580,61250,63620,66950,72860,78800,79900,72690,64010,58610,61190
25,The Bahamas,1550,1650,1760,1900,2040,2230,2450,2760,2920,3110,3190,3740,3840,4640,3120,3360,3720,5200,6050,5790,6360,6640,7700,8510,9400,10800,11710,12440,11870,11330,11550,11310,11600,14260,15930,14650,17630,24190,25940,26560,27190,27760,29270,30570,30760,31090,30960,29010,28370,28030,29020,28750,28400,28860,28830,30210,0
26,UAE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31400,31970,30940,32780,36160,37500,39380,39590,39910,35000,33390,35030,39220,42970,44370,42870,40550,38770,41010
27,Saudi Arabia,0,0,0,0,0,0,0,0,930,1000,1150,1600,3160,4500,8020,8770,8890,11170,14270,16530,13970,11320,10130,9010,9140,7700,7630,7080,7390,8310,8500,8050,7720,7810,8030,8230,8010,7650,8150,8520,8370,9480,11040,12650,14160,15800,18460,17900,18750,20880,24040,25440,25550,23710,21610,19990,21540
28,Channel Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42510,41460,40720,43340,50340,56270,60750,66230,0,0,0,0,0,0,0,0,0,0,0
29,French Polynesia,0,0,0,0,0,2090,2520,2430,2400,2640,2660,3320,4580,5100,5590,5890,6760,7980,9140,9600,9130,8190,8030,8340,10250,13000,15350,14940,15270,16030,17260,17400,17470,17910,17780,17250,16660,16170,15760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,New Caledonia,0,0,0,0,0,1830,2160,2520,3220,3420,3780,3990,5270,6400,6440,6580,6980,6900,7980,7940,7160,5920,5480,5510,6170,8070,13270,14530,14760,15200,16070,16340,16780,18220,18240,17810,15730,14810,14020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
